time,province,city,confirm,heal,dead
2020/2/13,陕西,韩城,0,0,0
2020/2/14,陕西,韩城,0,0,0
2020/2/15,陕西,韩城,0,1,0
2020/2/16,陕西,韩城,0,0,0
2020/2/17,陕西,韩城,0,0,0
2020/2/18,陕西,韩城,0,0,0
2020/2/19,陕西,韩城,0,0,0
2020/2/20,陕西,韩城,0,0,0
2020/2/21,陕西,韩城,0,0,0
2020/2/22,陕西,韩城,0,0,0
2020/2/23,陕西,韩城,0,0,0
2020/2/24,陕西,韩城,0,0,0
2020/2/25,陕西,韩城,0,0,0
2020/2/26,陕西,韩城,0,0,0
2020/2/27,陕西,韩城,0,0,0
2020/2/28,陕西,韩城,0,0,0
2020/2/29,陕西,韩城,0,0,0
2020/3/1,陕西,韩城,0,0,0
2020/3/2,陕西,韩城,0,0,0
2020/3/3,陕西,韩城,0,0,0
2020/3/4,陕西,韩城,0,0,0
2020/3/5,陕西,韩城,0,0,0
2020/3/6,陕西,韩城,0,0,0
2020/3/7,陕西,韩城,0,0,0
2020/3/8,陕西,韩城,0,0,0
2020/3/9,陕西,韩城,0,0,0
2020/3/10,陕西,韩城,0,0,0
2020/3/11,陕西,韩城,0,0,0
2020/3/12,陕西,韩城,0,0,0
2020/3/13,陕西,韩城,0,0,0
2020/3/14,陕西,韩城,0,0,0
2020/2/7,陕西,商洛,7,1,0
2020/2/8,陕西,商洛,0,0,0
2020/2/9,陕西,商洛,0,0,0
2020/2/10,陕西,商洛,0,0,0
2020/2/11,陕西,商洛,0,0,0
2020/2/12,陕西,商洛,0,0,0
2020/2/13,陕西,商洛,0,0,0
2020/2/14,陕西,商洛,0,0,0
2020/2/15,陕西,商洛,0,1,0
2020/2/16,陕西,商洛,0,0,0
2020/2/17,陕西,商洛,0,0,0
2020/2/18,陕西,商洛,0,0,0
2020/2/19,陕西,商洛,0,0,0
2020/2/20,陕西,商洛,0,2,0
2020/2/21,陕西,商洛,0,0,0
2020/2/22,陕西,商洛,0,0,0
2020/2/23,陕西,商洛,0,1,0
2020/2/24,陕西,商洛,0,0,0
2020/2/25,陕西,商洛,0,0,0
2020/2/26,陕西,商洛,0,0,0
2020/2/27,陕西,商洛,0,1,0
2020/2/28,陕西,商洛,0,0,0
2020/2/29,陕西,商洛,0,0,0
2020/3/1,陕西,商洛,0,0,0
2020/3/2,陕西,商洛,0,0,0
2020/3/3,陕西,商洛,0,0,0
2020/3/4,陕西,商洛,0,0,0
2020/3/5,陕西,商洛,0,0,0
2020/3/6,陕西,商洛,0,0,0
2020/3/7,陕西,商洛,0,0,0
2020/3/8,陕西,商洛,0,1,0
2020/3/9,陕西,商洛,0,0,0
2020/3/10,陕西,商洛,0,0,0
2020/3/11,陕西,商洛,0,0,0
2020/3/12,陕西,商洛,0,0,0
2020/3/13,陕西,商洛,0,0,0
2020/3/14,陕西,商洛,0,0,0
2020/2/7,陕西,延安,8,0,0
2020/2/8,陕西,延安,0,0,0
2020/2/9,陕西,延安,0,1,0
2020/2/10,陕西,延安,0,1,0
2020/2/11,陕西,延安,0,0,0
2020/2/12,陕西,延安,0,4,0
2020/2/13,陕西,延安,0,0,0
2020/2/14,陕西,延安,0,0,0
2020/2/15,陕西,延安,0,0,0
2020/2/16,陕西,延安,0,0,0
2020/2/17,陕西,延安,0,0,0
2020/2/18,陕西,延安,0,0,0
2020/2/19,陕西,延安,0,0,0
2020/2/20,陕西,延安,0,0,0
2020/2/21,陕西,延安,0,0,0
2020/2/22,陕西,延安,0,2,0
2020/2/23,陕西,延安,0,0,0
2020/2/24,陕西,延安,0,0,0
2020/2/25,陕西,延安,0,0,0
2020/2/26,陕西,延安,0,0,0
2020/2/27,陕西,延安,0,0,0
2020/2/28,陕西,延安,0,0,0
2020/2/29,陕西,延安,0,0,0
2020/3/1,陕西,延安,0,0,0
2020/3/2,陕西,延安,0,0,0
2020/3/3,陕西,延安,0,0,0
2020/3/4,陕西,延安,0,0,0
2020/3/5,陕西,延安,0,0,0
2020/3/6,陕西,延安,0,0,0
2020/3/7,陕西,延安,0,0,0
2020/3/8,陕西,延安,0,0,0
2020/3/9,陕西,延安,0,0,0
2020/3/10,陕西,延安,0,0,0
2020/3/11,陕西,延安,0,0,0
2020/3/12,陕西,延安,0,0,0
2020/3/13,陕西,延安,0,0,0
2020/3/14,陕西,延安,0,0,0
2020/2/7,陕西,铜川,8,3,0
2020/2/8,陕西,铜川,0,1,0
2020/2/9,陕西,铜川,0,0,0
2020/2/10,陕西,铜川,0,0,0
2020/2/11,陕西,铜川,0,0,0
2020/2/12,陕西,铜川,0,0,0
2020/2/13,陕西,铜川,0,0,0
2020/2/14,陕西,铜川,0,0,0
2020/2/15,陕西,铜川,0,0,0
2020/2/16,陕西,铜川,0,0,0
2020/2/17,陕西,铜川,0,0,0
2020/2/18,陕西,铜川,0,0,0
2020/2/19,陕西,铜川,0,2,0
2020/2/20,陕西,铜川,0,0,0
2020/2/21,陕西,铜川,0,0,0
2020/2/22,陕西,铜川,0,0,0
2020/2/23,陕西,铜川,0,0,0
2020/2/24,陕西,铜川,0,0,0
2020/2/25,陕西,铜川,0,0,0
2020/2/26,陕西,铜川,0,0,0
2020/2/27,陕西,铜川,0,0,0
2020/2/28,陕西,铜川,0,0,0
2020/2/29,陕西,铜川,0,0,0
2020/3/1,陕西,铜川,0,0,0
2020/3/2,陕西,铜川,0,1,0
2020/3/3,陕西,铜川,0,0,0
2020/3/4,陕西,铜川,0,0,0
2020/3/5,陕西,铜川,0,0,0
2020/3/6,陕西,铜川,0,0,0
2020/3/7,陕西,铜川,0,0,0
2020/3/8,陕西,铜川,0,0,0
2020/3/9,陕西,铜川,0,0,0
2020/3/10,陕西,铜川,0,0,0
2020/3/11,陕西,铜川,0,1,0
2020/3/12,陕西,铜川,0,0,0
2020/3/13,陕西,铜川,0,0,0
2020/3/14,陕西,铜川,0,0,0
2020/2/7,陕西,渭南,9,0,0
2020/2/8,陕西,渭南,4,0,0
2020/2/9,陕西,渭南,1,0,0
2020/2/10,陕西,渭南,0,0,0
2020/2/11,陕西,渭南,0,0,0
2020/2/12,陕西,渭南,0,0,0
2020/2/13,陕西,渭南,0,0,0
2020/2/14,陕西,渭南,1,0,0
2020/2/15,陕西,渭南,0,1,0
2020/2/16,陕西,渭南,0,1,0
2020/2/17,陕西,渭南,0,1,0
2020/2/18,陕西,渭南,0,0,0
2020/2/19,陕西,渭南,0,1,0
2020/2/20,陕西,渭南,0,0,0
2020/2/21,陕西,渭南,0,0,0
2020/2/22,陕西,渭南,0,0,0
2020/2/23,陕西,渭南,0,3,0
2020/2/24,陕西,渭南,0,1,0
2020/2/25,陕西,渭南,0,1,0
2020/2/26,陕西,渭南,0,0,0
2020/2/27,陕西,渭南,0,0,0
2020/2/28,陕西,渭南,0,0,0
2020/2/29,陕西,渭南,0,0,0
2020/3/1,陕西,渭南,0,0,0
2020/3/2,陕西,渭南,0,1,0
2020/3/3,陕西,渭南,0,0,0
2020/3/4,陕西,渭南,0,3,0
2020/3/5,陕西,渭南,0,0,0
2020/3/6,陕西,渭南,0,0,0
2020/3/7,陕西,渭南,0,0,0
2020/3/8,陕西,渭南,0,0,0
2020/3/9,陕西,渭南,0,0,0
2020/3/10,陕西,渭南,0,0,0
2020/3/11,陕西,渭南,0,1,0
2020/3/12,陕西,渭南,0,0,0
2020/3/13,陕西,渭南,0,0,0
2020/3/14,陕西,渭南,0,0,0
2020/2/7,陕西,宝鸡,12,2,0
2020/2/8,陕西,宝鸡,1,0,0
2020/2/9,陕西,宝鸡,0,0,0
2020/2/10,陕西,宝鸡,0,0,0
2020/2/11,陕西,宝鸡,0,0,0
2020/2/12,陕西,宝鸡,0,3,0
2020/2/13,陕西,宝鸡,0,2,0
2020/2/14,陕西,宝鸡,0,0,0
2020/2/15,陕西,宝鸡,0,0,0
2020/2/16,陕西,宝鸡,0,1,0
2020/2/17,陕西,宝鸡,0,1,0
2020/2/18,陕西,宝鸡,0,0,0
2020/2/19,陕西,宝鸡,0,0,0
2020/2/20,陕西,宝鸡,0,1,0
2020/2/21,陕西,宝鸡,0,1,0
2020/2/22,陕西,宝鸡,0,0,0
2020/2/23,陕西,宝鸡,0,0,0
